ID,Date,Title,Description,URL,Actors,Writer,Gap
172,11/11/1974,Wave of Terror,"A more modern version of the classic Romeo and Juliet, with the story taking place in Hawaii. Disaster follows the couple as their marriage is strictly prohibited by their families who have a secret to hide.",https://www.cbsrmt.com/episode/172-wave-of-terror.html,"58,42,73,133,38",38,1
173,11/12/1974,I Must Kill Edna,"A hardened middle-aged man marries a wealthy lady for pragmatic reasons. When he falls in love with a young girl at the same time, he conspires to kill his wife using her obsession with rattlesnakes, .",https://www.cbsrmt.com/episode/173-i-must-kill-edna.html,"190,30,2,10,95",13,1
174,11/14/1974,The Thirty-Sixth Man,A storekeeper is selected to be the next 'Lahmed Vovnik'. This is a notion rooted within the more mystical beliefs of Hebrew legends declaring that there are only 36 people who are fit to inhabit this world. The devil sets out to influence this Thirty Sixth Man.,https://www.cbsrmt.com/episode/174-the-thirty-sixth-man.html,"180,144,135,191,16",13,1
175,11/18/1974,The Strange Voyage of the Lady Dee,"While on a boat trip, a young couple and their daughter become lost in the dense fog. The spirit of a woman lures them to a strange island whose sole inhabitant proves to have questionable motives.",https://www.cbsrmt.com/episode/175-the-strange-voyage-of-the-lady-dee.html,"58,74,87,192,7",60,1
176,11/20/1974,Tattooed for Murder,"In order to escape their father's tyrannical ways, a pair of sisters join a circus as tattooed girls. On the surface, their actions are meant to insult and humiliate their father, but one sibling has grander scheme in mind.",https://www.cbsrmt.com/episode/176-tattooed-for-murder.html,"26,109,150,12",193,1
177,11/21/1974,The Death Watch,"After winning a game of chance, a man gains possession of a cursed pocket watch. He is slowly consumed by the obsession to keep it wound.",https://www.cbsrmt.com/episode/177-the-death-watch.html,"157,6,16,38",38,1
178,11/25/1974,The Sighting,"A couple encounters a UFO landing on Earth. Though the husband insists on denying what he saw, his wife starts to get neighbourly visits from aliens.",https://www.cbsrmt.com/episode/178-the-sighting.html,"14,98,16,12,118",194,1
179,11/26/1974,Courtyard of Death,"This is the tale of the lewd monk Rasputin, who was the spiritual consultant of Russian Czar Nicholas II and his family.",https://www.cbsrmt.com/episode/179-courtyard-of-death.html,"27,144,29,195,20,3",61,1
180,11/28/1974,The Aaron Burr Murder Case,In a re-enactment of a famous duel between Alexander Hamilton and Aaron Burr. The actor portraying Hamilton is killed by when his partner's gun fires real bullets instead of blanks. The police investigate and soon find that all evidence point towards the real Aaron Burr as the perpetrator of the crime.,https://www.cbsrmt.com/episode/180-the-aaron-burr-murder-case.html,"82,155,51,63,2",13,1
181,12/02/1974,The Dice of Doom,"A young gambler from the 1800s tries to outwit the Devil by using two special dice, thereby altering a predetermined fate he was bound to endure due to an ancestor's Faustian mistake.",https://www.cbsrmt.com/episode/181-the-dice-of-doom.html,"68,133,135,38,16",38,1
182,12/04/1974,A Bride for Death,An unlucky poet finds love and affection in the form of his melancholic neighbor awaiting her fiance\'s return from war. Now the intriguing question is - which war?,https://www.cbsrmt.com/episode/182-a-bride-for-death.html,"25,35,95,6",13,1
183,12/05/1974,The Body Snatchers,A doctor meets a drunkard friend in a bar. They reminisce the times they defiled graves in order to sell the corpses to a medical school.,https://www.cbsrmt.com/episode/183-the-body-snatchers.html,"140,12,90,141,119",38,1
184,12/09/1974,The Fatal Connection,A young couple expecting a child also happen to inherit a furnished house. Among their acquired furniture is a phone that can send them back in time to relive the lives of their ancestors. They slowly realize that their ancestors were not very nice.,https://www.cbsrmt.com/episode/184-the-fatal-connection.html,"136,8,130,155",194,1
185,12/10/1974,The Damned Thing,"A government official investigates the death of a very rich man an each witnesses narrates the incident differently. The man's best friend informs the coroner that he was murdered by a mysterious, invisible creature of a color invisible to human eyes.",https://www.cbsrmt.com/episode/185-the-damned-thing.html,"16,176,64,10,91",64,1
186,12/12/1974,Is the Lady Dead?,"An extremely wealthy man marries a woman on the spur of a moment. His wife dies soon after the marriage, and this affects him in such a way that he becomes obsessed with the desire toreclaim her from the grave. His behavior distresses his family and longtime butler.",https://www.cbsrmt.com/episode/186-is-the-lady-dead.html,"9,144,30,2",13,1
187,12/16/1974,Stephanie's Room,"A married woman moves back to her birthplace in New York when her husband is posted there for work. She visits the house she grew up in and meets a childless old lady. They bond in a strange, symbiotic manner as mysterious things happen to her childhood quarters.",https://www.cbsrmt.com/episode/187-stephanie-s-room.html,"94,60,63,16",77,1
188,12/18/1974,Charity Is Never Dead,"An explosion occurs in a departmental store, leaving an old lady badly wounded who is immediately taken to the emergency unit of a hospital. She is freaked out when she cannot find her granddaughter whom she just met after a decade. In the meantime a young lady is brought to the hospital after sustaining a severe head injury resulting in amnesia. Are the women related?",https://www.cbsrmt.com/episode/188-charity-is-never-dead.html,"196,88,44,150,51",38,1
189,12/19/1974,The House of the Voodoo Queen,A husband and wife gain possession of a house in New Orleans known to be inhabited by a malicious ghost. Another woman works her charm on the husband in order to get her hands on the house.,https://www.cbsrmt.com/episode/189-the-house-of-the-voodoo-queen.html,"159,30,197,7,17",61,1
190,12/23/1974,Give the Devil His Due,An aged dancer attempts to enter a pact with the devil to sacrifice her soul in return for her youth and skill. But she backs out of the deal at the last minute - with severe consequences.,https://www.cbsrmt.com/episode/190-give-the-devil-his-due.html,"94,38,118,35,198",193,1
191,12/24/1974,A Very Private Miracle,A very moving story about a cranky old man and a little girl trying to persuade him to play Santa Claus.,https://www.cbsrmt.com/episode/191-a-very-private-miracle.html,"140,199,196,10,38",38,1
192,12/26/1974,Turn About Is Foul Play,"A man together with his girlfriend plots to kill his rich and sickly wife. At the last moment he experiences a change of heart but someone carries out the job for him. As all evidence point towards him, he must prove his innocence to the police without even a shred of proof to support him.",https://www.cbsrmt.com/episode/192-turn-about-is-foul-play.html,"29,187,23,6,20",23,1
193,12/30/1974,The Golem,A man tries to aid an elderly Jew and his granddaughter evade the Nazis tailing them. The old man begins to resurrect a mythical being from old Hebrew legend to save them.,https://www.cbsrmt.com/episode/193-the-golem.html,"200,122,12,16,119",13,1
194,01/01/1975,The Deadly Pearls,A private detective tries to track two radioactive pearls that were used to murder two women. He travels to Hawaii disguised as a novelist and mixes with the inhabitants while thwarting the assassins sent to kill him.,https://www.cbsrmt.com/episode/194-the-deadly-pearls.html,"58,201,71,90",139,1
195,01/02/1975,The Reluctant Killer,A professional football player becomes disillusioned with the brutality of the game and leaves. But his wife and her mother accuse him of domestic violence and send him to prison. He comes back to avenge the injustice.,https://www.cbsrmt.com/episode/195-the-reluctant-killer.html,"25,202,35,2,38",38,1
196,01/05/1975,The Many Names of Death,A trust officer in a bank hires a sexy secretary. She charms him to take a few rash steps and walk the wilder side of things. The ride may turn out more bumpy for him than he expected.,https://www.cbsrmt.com/episode/196-the-many-names-of-death.html,"121,112,116,63",13,1
197,01/06/1975,The Premature Burial,"A doctor helps his friend dig up the corpse of his loved one who married a wicked man. They find her to be alive, and now her evil husband wants her back!",https://www.cbsrmt.com/episode/197-the-premature-burial.html,"203,58,93,6",28,1
198,01/07/1975,The Murders in the Rue Morgue,"In order to solve the case of a vicious attack on a young girl in a locked room, an ambitious police investigator enlists the services of a newbie detective. The man makes a unique suggestion.",https://www.cbsrmt.com/episode/198-the-murders-in-the-rue-morgue.html,"58,93,87,7",28,1
199,01/08/1975,The Oblong Box,A man makes a voyage to the US from Europe and meets an old friend carrying a peculiar oblong box that apparently contains an obscure painting. The strange shape of the box influences the fellow passengers to think that the box contains something far from innocent.,https://www.cbsrmt.com/episode/199-the-oblong-box.html,"48,71,35,90",28,1
200,01/09/1975,Berenice,"A young man falls in love with his young sister-in-law while his wife lies on her deathbed. The last distressing smile of his wife taunts him day and night, and he goes crazy when he sees the same smile on his new beloved.",https://www.cbsrmt.com/episode/200-berenice.html,"84,27,47,202",28,1
201,01/10/1975,The Masque of the Red Death,"This is a modern day adaptation of Poe's classic. Here, an environmental disaster occur which results in a massive plague. An old man isolates himself and his family in his manor to wait out the epidemic.",https://www.cbsrmt.com/episode/201-the-masque-of-the-red-death.html,"179,105,79,82,10",28,1
202,01/11/1975,The Tell-Tale Heart,"An unlucky family is forced to live with their perverted uncle, where they are forced to face endless chores, hunger, and even sexual harassment.",https://www.cbsrmt.com/episode/202-the-tell-tale-heart.html,"204,205,16",28,1
203,01/12/1975,The Cask of Amontillado,"A young lady is forced to sleep with her husband's greedy and lecherous backer to avert a fiancial disaster. In order to avenge this dishonor, the man extends an irresistible invitation to him.",https://www.cbsrmt.com/episode/203-the-cask-of-amontillado.html,"206,138,202,2,16",28,1
204,01/13/1975,The Witness Is Death,"A young man witnesses an assassination by a gang and is fatally wounded in the process. Though he survives, he is now too scared to testify. The police need information but can't get anything out of him. They finally resort to an inventive method with the help of a hospital to get him to speak.",https://www.cbsrmt.com/episode/204-the-witness-is-death.html,"155,141,38,32",38,1
205,01/14/1975,Faith and the Faker,A converted swindler turned faith healer learns that he can heal anyone in his island except his lame wife. He soon realizes that only one thing stands between him and the ability he desperately seeks to acquire.,https://www.cbsrmt.com/episode/205-faith-and-the-faker.html,"140,60,35,93,151",43,1
206,01/16/1975,A Death of Kings,"A genius but modest scientist takes in a student. He ends up losing his wife to him, his skills and aptitudes too.",https://www.cbsrmt.com/episode/206-a-death-of-kings.html,"94,63,16",13,1
207,01/17/1975,Ghost Talk,"A man dies and his wife is devastated by it. He finds out that he can communicate with her and she promises to never forget him. But later he finds out from an angel that if he persists in keeping his memory alive, she will be stuck in eternal limbo. So he must achieve the nearly impossible task of making her forget about him.",https://www.cbsrmt.com/episode/207-ghost-talk.html,"207,190,133,16",43,1
208,01/20/1975,The Precious Killer,A prominent figure in a European faction is charged with sedition and soon comes to realize that the cause he championed only brought about oppression. His desire to step aside to make way for change is thwarted by all around treachery.,https://www.cbsrmt.com/episode/208-the-precious-killer.html,"64,106,12,7,144",13,1
209,01/22/1975,Concerto in Death,"A celebrated conductor is devastated when his son dies. He can't accept the fact at all and slowly goes mad, much to the embarrassment of his family.",https://www.cbsrmt.com/episode/209-concerto-in-death.html,"6,38,135,117",28,1
210,01/23/1975,Sleepy Village,"A college professor and his wife retire to Sleepy Village to find some peace and quiet so he can finish his book. But before they can settle down, the village inhabitants will test if they are in the 'right state of mind'.",https://www.cbsrmt.com/episode/210-sleepy-village.html,"27,55,90,141",194,1
211,01/24/1975,The Flowers of Death,"Dionysus, a god in Greek mythology appears in modern times and charms a young lady living in a suburb. Her husband brings his boss home so he can evaluate them for a promotion. Apart from this, the neighborhood is buzzing about her special talent with flowers.",https://www.cbsrmt.com/episode/211-the-flowers-of-death.html,"94,9,202,17",13,1
212,01/26/1975,The Follower,"A talent scout in New York is tortured by an invisible being following him everywhere to the extent of keeping up with his every footstep, especially when he is alone. Is there something mysterious in his past?",https://www.cbsrmt.com/episode/212-the-follower.html,"208,135,98,20",38,1
213,01/27/1975,A Coffin for the Devil,A man gathers a group of specialists along with the famous E. G. Marshall and reads them a very old letter written by one of his ancestors. The letter narrates the events regarding a young mortician's assistant and a peculiar man ordering a special coffin for himself.,https://www.cbsrmt.com/episode/213-a-coffin-for-the-devil.html,"203,6,186,63,98",61,1
214,01/28/1975,Windandingo,"After accidentally shooting a prize bull, an inexperienced and bungling soldier is sent home. Soon after he arrives, his home is taken over by General Burgoyne and he is able to aid his country in the end by invoking the spirit of Indian justice.",https://www.cbsrmt.com/episode/214-windandingo.html,"82,90,29,95,35",13,1
215,01/30/1975,The Night of the Wolf,"A very old Indian garment stirs great violence among the patrons of a museum. An investigator delves deeper into the situation, making himself a vulnerable target to the curse.",https://www.cbsrmt.com/episode/215-the-night-of-the-wolf.html,"84,10,141,151,155",13,1
216,01/31/1975,The Disembodied Voice,A female psychiatrist begins to get phone calls from a man who claims to be a rapist and a killer. A police investigator tries to help.,https://www.cbsrmt.com/episode/216-the-disembodied-voice.html,"128,129,16,122",38,1
217,02/03/1975,Death On Skis,"Every year, at similar time periods and during a full moon, blonde women are brutally murdered at a famous ski resort. When a renowned author takes his blonde wife to that dangerous slope to complete his book, she starts to suspect him.",https://www.cbsrmt.com/episode/217-death-on-skis.html,"131,9,12,27",28,1
218,02/04/1975,Death in the Stars,A newspaper editor is maddened when the paper's horoscope informs her that she is going to die that very day!,https://www.cbsrmt.com/episode/218-death-in-the-stars.html,"14,58,150,60,38",38,1
219,02/06/1975,The Sire De Maletroit's Door,"This is a retelling of a Robert Louis Stevenson tale set in 16th century France. Two friends flee for their lives. One gets fatally wounded, and the other finds shelter at the residence of a crazy aristocrat who tries to force him to marry his unruly niece.",https://www.cbsrmt.com/episode/219-the-sire-de-maletroit-s-door.html,"68,6,16,63",38,1
220,02/07/1975,Death Is So Trivial,A man dies in a road accident and vows to devote his afterlife to stopping hit and runs.,https://www.cbsrmt.com/episode/220-death-is-so-trivial.html,"25,66,73,35,7",43,1
221,02/10/1975,Journey Into Nowhere,An archaeologist discovers an antique which leads him into a confrontation with the goddess of revenge.,https://www.cbsrmt.com/episode/221-journey-into-nowhere.html,"90,47,64,10",64,1
222,02/13/1975,A Small Question of Terror,"In a state run by a mysterious being called 'The Protector', a lady, her boyfriend and her mother are tortured over a joke they made. The lady must utilize her brains and talent to get them all out safely.",https://www.cbsrmt.com/episode/222-a-small-question-of-terror.html,"26,133,2,155",28,1
223,02/14/1975,The Shadow of the Past,"A doctor and his wife escape the clutches of the Nazi death camps and illegitimately migrate to the US. Later, the doctor recognizes one of the camp guards among his patients and kills him to exact his revenge. But he must cover up the act as an intelligent investigator probes the case.",https://www.cbsrmt.com/episode/223-the-shadow-of-the-past.html,"140,65,32,17,82",13,1
224,02/17/1975,The Death Wish,A young man asks his friend's son over to visit with him and his family. But the boy turns out to possess wicked powers.,https://www.cbsrmt.com/episode/224-the-death-wish.html,"144,90,202,69,209",38,1
225,02/18/1975,Love Me And Die,"A young woman has recently married, but is plagued by her ex-husband's ghost. He died in an accident while rock climbing and he is determined to pass on a message to her present husband.",https://www.cbsrmt.com/episode/225-love-me-and-die.html,"205,29,16,210",13,1
226,02/20/1975,Must Hope Perish,A senator who is running for president believes that the country's leading dissident is trying to get his point across through poetry despite never having been formally introduced.,https://www.cbsrmt.com/episode/226-must-hope-perish.html,"211,6,10,16,38",13,1
227,02/21/1975,The Weavers of Death,An investigator looks into the death of an old flame during a robbery at a mini-mart. He soon uncovers a more sinister plot.,https://www.cbsrmt.com/episode/227-the-weavers-of-death.html,"49,91,118,35,212",13,1
228,02/24/1975,Hell Hath No Fury,"An actor conspires to kill his rich wife, but her sister, being a modern witch, is keeping abreast and schemes against him.",https://www.cbsrmt.com/episode/228-hell-hath-no-fury.html,"63,88,26,141",38,1
229,02/26/1975,The Strange Case of Lucas Lauder,"A man sentenced to death informs a prison guard that he was Jack the Ripper in a previous life and that after his death, Ripper's soul will possess him and he will murder his wife.",https://www.cbsrmt.com/episode/229-the-strange-case-of-lucas-lauder.html,"200,207,12,85,213",28,1
230,02/27/1975,Them!,A vigilante lawyer takes the matters into his own hands and locks up murder suspects in his mansion. But he goes too far when he imprisons an innocent man.,https://www.cbsrmt.com/episode/230-them.html,"159,83,74,10",214,1
231,02/28/1975,An Identical Murder,"Two identical twin brothers are in love with the same woman, but she cares for just one. One brother dies in an accident, and she is doubtful as to which one of the brothers it was.",https://www.cbsrmt.com/episode/231-an-identical-murder.html,"63,190,202,16",61,1
232,03/03/1975,The Wakeful Ghost,A young man visiting his family in Ireland seeks the help of a ghost and a leprechaun to get hold of the woman he loves.,https://www.cbsrmt.com/episode/232-the-wakeful-ghost.html,"58,196,69,2,38",38,1
233,03/04/1975,The Pit and the Pendulum,A young man invents a formula that could destroy the world if it fell into the wrong hands. He and his wife are tormented and threatened to get him to reveal the secret.,https://www.cbsrmt.com/episode/233-the-pit-and-the-pendulum.html,"25,6,27",28,1
234,03/06/1975,When the Death Bell Tolls,A man meets a life threatening accident and is sent to the operating room. But his family doesn't want the life-saving operation to happen as he was completely wicked and evil.,https://www.cbsrmt.com/episode/234-when-the-death-bell-tolls.html,"60,150,47,151,38",38,1
235,03/07/1975,The Eye of Death,A young photographer is convinced that her stepfather killed her mother and tries to prove it. She becomes frantic and begins to stalk him when he gets ready to marry again.,https://www.cbsrmt.com/episode/235-the-eye-of-death.html,"75,155,12,16",28,1
236,03/10/1975,The Stuff Of Dreams,"A strange reclusive woman hires a young lady to tell her the tales about her daily life, but things start to go south when the girl's boyfriend comes to visit.",https://www.cbsrmt.com/episode/236-the-stuff-of-dreams.html,"35,6,82,7",43,1
237,03/12/1975,The Dark Closet,"A young girl who is a severely claustrophobic insomniac is locked up as the primary suspect in a robbery. When her father disinherits her, a government psychologist grows interested in her case.",https://www.cbsrmt.com/episode/237-the-dark-closet.html,"204,69,66,138,95",38,1
238,03/13/1975,Death Pays No Dividend,"A group of failed Wall Street financiers try to arrange their own deaths at the hands of a professional assassin so their families can collect on their life insurances. But an unexpected stroke of good fortune comes to them, though their appointment with death is still on!",https://www.cbsrmt.com/episode/238-death-pays-no-dividend.html,"205,93,90,141",60,1
239,03/14/1975,The Cezar Curse,A man visits a Spanish aristocratic family and falls in love with a woman whose picture hangs on the wall. The woman was wicked in life but it bothers him little as he falls for her daughter who bears an evil curse.,https://www.cbsrmt.com/episode/239-the-cezar-curse.html,"206,202,144,91,38",61,1
240,03/17/1975,Every Blossom Dies,"A young lady is murdered and the investigator leading the case becomes the main suspect. His boss is unwilling to believe the facts and his wife dismisses the evidence against him, one of them being a note from the victim herself.",https://www.cbsrmt.com/episode/240-every-blossom-dies.html,"84,212,51,10",13,1
241,03/18/1975,"It's Murder, Mr. Lincoln","A tale set in Abraham Lincoln's early years getting a case where the man is charged of murder and no one else dares to defend him. Lincoln is advised to move slowly, but he charges head on.",https://www.cbsrmt.com/episode/241-it-s-murder-mr-lincoln.html,"203,136,58,118,16",13,1
242,03/20/1975,The Doppelganger,A young lady chooses a gangster boyfriend over her fiance even though her beloved forces her to abort her child. Along comes a perfect chance at revenge for the rejected man.,https://www.cbsrmt.com/episode/242-the-doppelganger.html,"140,150,25,151",38,1
243,03/21/1975,The Man Must Die,The son of a court judge is tremendously angered when his father sentences a convicted killer to two decades of life imprisonment instead of death. He then plans to meet the convict to clear things out.,https://www.cbsrmt.com/episode/243-the-man-must-die.html,"66,44,74,38",43,1
244,03/24/1975,The Deadly Double,An evil twin escapes from mental asylum to hijack her sane sister's life and switch places with her. But can she carry out her role even with her sister's boyfriend as her sister tries to claw her way out of the asylum?,https://www.cbsrmt.com/episode/244-the-deadly-double.html,"6,16,2",215,1
245,03/26/1975,Death Is a Dream,A girl has a dream about her brother being murdered. She starts to wreak revenge on the murderer even though it's unclear whether the murder actually took place.,https://www.cbsrmt.com/episode/245-death-is-a-dream.html,"94,68,91,82,35",13,1
246,03/27/1975,The Velvet Claws,A man talks to his counsellor and recounts the tale of his escape from a mysterious town full of people obsessed with cats.,https://www.cbsrmt.com/episode/246-the-velvet-claws.html,"133,10,64,17",61,1
247,03/28/1975,Key to Murder,A double bill of the classic Poe plot. An investigator probes the case of two murders that took place in rooms sealed from the inside with no other visible entrances or exits.,https://www.cbsrmt.com/episode/247-key-to-murder.html,"94,60,130,16",28,1
248,03/31/1975,Killer of the Year,A promising CEO meets the new town librarian. He knows her to be a former murder convict he had previously had a crush on. But that can't stop him from falling for her again.,https://www.cbsrmt.com/episode/248-killer-of-the-year.html,"27,26,98,141,155",13,1
249,04/01/1975,The Killer Inside,The mundane life of a regular citizen is stirred up after she transports a package to Europe at the special request of her beloved. She finds herself caught up in an international mystery.,https://www.cbsrmt.com/episode/249-the-killer-inside.html,"216,35,38,95",13,1
250,04/03/1975,The Garrison of the Dead,"A hustler is hanged for killing a reporter who wrote about him. After death, he is offered a second chance at life where his cherished dream of being a writer might be granted. But does he want it anymore?",https://www.cbsrmt.com/episode/250-the-garrison-of-the-dead.html,"49,47,90,2,91",13,1
251,04/04/1975,Roses Are for Funerals,A fake leopard skin coat becomes the key to a case of assassination and mystery as a British man travels to the home of his American beloved.,https://www.cbsrmt.com/episode/251-roses-are-for-funerals.html,"217,25,122,7",28,1
252,04/07/1975,The Benjamin Franklin Murder Case,Ben Franklin is the hero in this case of an assassination in a Philadelphia mansion in 1750.,https://www.cbsrmt.com/episode/252-the-benjamin-franklin-murder-case.html,"58,6,105,151,17",13,1
253,04/09/1975,The Altar of Blood,A superannuated professor is obsessed with the mysteries of the Aztec civilisation. He decides to relocate to a new residence with his daughter whose mother was Aztec. But their new home hides a pyramid and they are accidentally sucked back in time through it. Now the father must witness his daughter sacrificed in an ancient Aztec ritual.,https://www.cbsrmt.com/episode/253-the-altar-of-blood.html,"204,29,136,38",38,1
254,04/10/1975,The Death of Halpin Fraser,"A nightmare journey through purgatory is in order for a man who is beset by the voices of his mother, father-in-law and the former wife whom he had murdered.",https://www.cbsrmt.com/episode/254-the-death-of-halpin-fraser.html,"68,71,90,64,119",64,1
255,04/11/1975,The Phantom Stop,Alvin Frieburger is taking a trip in an express subway and wants to get down at a stop that does not exist.,https://www.cbsrmt.com/episode/255-the-phantom-stop.html,"27,98,35,135",38,1
256,04/14/1975,The Intermediary,Childhood cruelty unhinges a man named Frank Ellington as he gets possession of the house where his stepmother tortured him. But he is convinced to relocate there by his wife whom he soon suspects to be an agent of his dead stepmother.,https://www.cbsrmt.com/episode/256-the-intermediary.html,"138,12,2",194,1
257,04/15/1975,My Own Murderer,Joe Vinacelli is obsessed with murdering Joe Vincent. The latter goes into therapy to seek help as we slowly understand that the pursuer and the pursued are the same individual. But things get creepy when Vincent gives both his therapist and himself - the slip.,https://www.cbsrmt.com/episode/257-my-own-murderer.html,"49,16,38,73,32,212",4,1
258,04/17/1975,Through the Looking Glass,"A mysterious couple move into a flat next door to Kathy and Doug Sellars. Problems start when the husband, who turns out to be a scientist and inventor offers Doug a solar energy machine that can revolutionize the entire planet.",https://www.cbsrmt.com/episode/258-through-the-looking-glass.html,"205,141,10,82,151",194,1
259,04/18/1975,A Challenge for the Dead,Police officer Johnny Gordon pursues his namesake criminal for the young priest. But his wife starts cheating on him with the criminal and he is resolved with a vengeance to track him down.,https://www.cbsrmt.com/episode/259-a-challenge-for-the-dead.html,"140,26,16,2,35",13,1
260,04/21/1975,Sting of Death,Strong-willed explorer Trevor Constaine is used to getting his way in things and he wants to see his daughter marry his assistant - although both are married. But Trevor can't be put down with a trivial thing like that and uses some shrunken heads and a killer clock to achieve his ends.,https://www.cbsrmt.com/episode/260-sting-of-death.html,"44,25,6,55",28,1
261,04/23/1975,"Afraid to Live, Afraid to Die","Not a supernatural, but a psychological horror story is revealed as Ellen Muir recounts her trip to Malvern Grange to take care of its aged matron.",https://www.cbsrmt.com/episode/261-afraid-to-live-afraid-to-die.html,"69,144,38,155",38,1
262,04/24/1975,Bullet Proof,Rocky Stark is put in prison for the murder of hoodlum Johnny Mallory.But he is innocent and his gun was kept with him at all times. But the real murderer is soon found dead with Rocky's gun doing him in and he must now find a way to escape execution. His faithful wife sets out to probe the case herself.,https://www.cbsrmt.com/episode/262-bullet-proof.html,"29,51,95,38,119",28,1
263,04/25/1975,Till Death Do Us Join,"Set in old Prussia, this is a truly Gothic tale of romance between an art student and his professor's niece. Fate intervenes when her hand is sold off in marriage with a local wealthy man. But one life isn't enough for eternal lovers, is it?",https://www.cbsrmt.com/episode/263-till-death-do-us-join.html,"102,202,93,64",38,1
264,04/28/1975,The Phantom of the Opera,Raoul de Chagny falls for the stunning Christine Daae as he he watches her perform in Paris Opera House. But he must pursue her through its backdoors and stage rooms while he his heart becomes heavy with the presence of a disfigured spirit. The spirit wields unimaginable power over the singer and Raoul must compete with him to win her heart and overcome her fears.,https://www.cbsrmt.com/episode/264-the-phantom-of-the-opera.html,"90,133,135,58",61,1
265,04/29/1975,Black Widow,The widow of a union worker enlists the help of a witch to get rid of the man who murdered her husband. The witch deploys poisonous black widow spiders to achieve her end.,https://www.cbsrmt.com/episode/265-black-widow.html,"10,16,134,7,20",77,1
266,05/01/1975,Mad Monkton,A Gothic family tradition of insanity can be ended by the last heir Stephen Monkton - if he can just find his unce's corpse in Naples and bury it in their family vault.,https://www.cbsrmt.com/episode/266-mad-monkton.html,"66,6,151,141,58",38,1
267,05/02/1975,The Final Witness,An average Joe becomes the accidental witness to the murder of a friend. But his nerves fail him in the witness stand and the murderer is acquitted. Soon after his friend starts paying visits much to his horror and only extreme steps will appease his spirit.,https://www.cbsrmt.com/episode/267-the-final-witness.html,"218,30,35,2,130",13,1
268,05/05/1975,The Paradise of the Devil,A night guard is killed and his daughter promises her small inheritance to the person who finds the killer. But the inheritance isn't as meagre an amount as she imagined.,https://www.cbsrmt.com/episode/268-the-paradise-of-the-devil.html,"9,91,186,17,212",13,1
269,05/07/1975,The Transformation,A young man wastes both his inherited fortune and the love of a beautiful woman. He finally makes a deal for three days inside his beautiful body with a demon from underground. But the demon does not keep his deal and he must search for his body. He ends up finding way more.,https://www.cbsrmt.com/episode/269-the-transformation.html,"104,10,16,38",43,1
270,05/08/1975,Taken for Granite,A deranged artist works as a caretaker of a garden filled with statues. Except that he uses live models for his art and encases them in granite.,https://www.cbsrmt.com/episode/270-taken-for-granite.html,"140,219,16,220,155",89,1
271,05/09/1975,The Voices of Death,"A radio equipment production unit executive finds an ancient crystal set designed by him at a yard sale. But when he operates it, it broadcasts the conversation of a man and a woman debating over the destiny of mankind. The woman begs for a single extra day granted to people and the executive resolves to go out and persuade people to see the error in their ways.",https://www.cbsrmt.com/episode/271-the-voices-of-death.html,"27,60,95,38",13,1
272,05/12/1975,For Tomorrow We Die,"Harry Taylor gets out after three decades in prison for murdering his wife and goes to find an old flame Jesse Craig. Her son-in-law tries to find out whether his love is sincere, or motivated by revenge for Jesse deserting him years ago.",https://www.cbsrmt.com/episode/272-for-tomorrow-we-die.html,"106,12,98,10,151",38,1
273,05/13/1975,Where Angels Fear to Tread,"A professor of paranormal psychology, Dr. Ken Anderson, experiments with the astral projection of his self. But the experiment rolls out of control.",https://www.cbsrmt.com/episode/273-where-angels-fear-to-tread.html,"84,35,90,16",28,1
274,05/15/1975,Deadly Dilemma,A thriller up in the air. Someone among the passengers possess a bomb and the unlikely heroes of an attendant and a co-pilot must find him/ her out.,https://www.cbsrmt.com/episode/274-deadly-dilemma.html,"44,38,134,119,95",38,1
275,05/16/1975,The Rise and Fall of the Fourth Reich,"A Nazi fantasy? In this weird tale, two scientists discover an aged and sickly Adolf Hitler in 1970's Mexico City. They begin to try and restore his health and youth through their experiments.",https://www.cbsrmt.com/episode/275-the-rise-and-fall-of-the-fourth-reich.html,"16,58,118,141",4,1
276,05/19/1975,The Diamond Necklace,"Ostentation has tragic consequences for a couple with modest means as they borrow a diamond necklace to show off at a party. They end up losing it and the husband is forced to take a huge loan from an evil financier. But a mere debt is not their salvation as murder, death by accident and suicide soon follow in its wake.",https://www.cbsrmt.com/episode/276-the-diamond-necklace.html,"49,6,2,35",28,1
277,05/21/1975,Don't Let It Choke You,"An aged and widowed antique trader is forced to adopt a teenage girl. As he tries to communicate with her despite their many differences, he starts to wonder about the rampant death all around him. Numerous people whom he knew have been killed in the recent past.",https://www.cbsrmt.com/episode/277-don-t-let-it-choke-you.html,"136,210,90,144,221",38,1
278,05/22/1975,Return to Shadow Lake,The Maxwell couple make their way through a blizzard to get to their summer cabin where someone has apparently attempted a burglary. But they encounter a mystical scene from the past over there - a scene that might not let to get back to their regular lives unscathed.,https://www.cbsrmt.com/episode/278-return-to-shadow-lake.html,"98,47,130,30,91",194,1
279,05/23/1975,Markheim: Man or Monster?,"Karl Markheim is the ultimate anti-hero as he manipulates and swindles everyone around him to get his ends. He is left out from the will of his rich uncle and decides to torture his wife and her father for money, blithely unaware of the strange figure who witnesses all from behind a mirror.",https://www.cbsrmt.com/episode/279-markheim-man-or-monster.html,"104,38,93,71,150",38,1
